"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Description","Stock","Sold","Subtotal","Discounts","Subtotal w/ Discounts","Total","Cost","Profit","Margin"
"210000026550","889166537977","","SI-VB-1015","16026","STORM 2","0","97","$4519.03","$160.31","$4358.72","$4613.21","$4082.95","$275.77","6.33%"
"210000002749","603912294545","","PD3260-14","PD3260-14","PUMP WORX BEGINNERS POWER PUMP - BLUE","0","3","$56.97","$0.00","$56.97","$61.05","$16.20","$40.77","71.56%"
"210000028859","889166000082","","SI-LQ-7000","WATER BASE LUBE","SI WATER BASED PERSONAL LUBE","0","152","$1072.50","$23.94","$1048.56","$1110.33","$545.88","$502.68","47.94%"
"210000035532","","","FREIGHT","","FREIGHT CHARGES","0","1485","$8492.41","$0.00","$8492.41","$8993.45","$8492.41","$0.00","0%"
"210000030973","781643644942","","MOOD-18K","18K TITANIUM","18K TITANIUM MALE SUPPLEMENT","0","83","$829.17","$0.00","$829.17","$874.56","$303.78","$525.39","63.36%"
"210000019327","707206115773","","MOOD-RHINOZGOLD","MOOD-RHINOZGOLD","RHINO ZEN GOLD 9000 SUPPLEMENT","0","54","$539.46","$1.00","$538.46","$573.14","$182.02","$356.44","66.2%"
"210000034763","79213833955","","MOOD-XCALPLATINUM","XCALPLATINUM","X CALIBUR PLATINUM MALE SUPPLEMENT CARDBOARD PACK","0","185","$1848.15","$13.50","$1834.65","$1919.62","$925.00","$909.65","49.58%"
"210000012771","845830055482","","MP168-004BK-S-M","168-004BKSM","EXT LADDER SHORT S/M BLACK","0","1","$28.99","$0.00","$28.99","$28.99","$13.95","$15.04","51.88%"
"210000021211","845830058278","","MP171-004BK-S-M","171004 BK SL","EXTREME BIRDCAGE SHEER PANEL SHORT S/M","0","1","$30.99","$0.00","$30.99","$30.99","$12.71","$18.28","58.99%"
"210000016246","603912333473","","PD4677-01","PD4677-01","AFC ANAL MOIST SAMPLER - 3 PACK","0","12","$95.88","$25.00","$70.88","$76.00","$25.52","$45.36","63.99%"
"210000005766","716770034762","","SE-6871-03-3","SE-6871-03-3","COLT ANAL TRAINER KIT","0","1","$21.99","$0.00","$21.99","$23.75","$8.90","$13.09","59.53%"
"210000027277","889166537816","","SI-AN-5011","ME004","ROYAL FLUSH","0","9","$74.99","$0.00","$74.99","$79.65","$98.99","$-24.00","-32.01%"
"210000018555","716770034595","716770034588","SE-6811-00-1","SE-6811-00-1","STAY HARD CREAM BULK","0","11","$142.89","$0.00","$142.89","$149.39","$27.50","$115.39","80.75%"
"210000030217","889166000204","889166806110","SI-VB-1027","AL-SV022","THE BUNNY G CURVE - RED","0","17","$384.83","$14.11","$370.72","$395.52","$255.55","$115.17","31.07%"
"210000029620","889166154518","","SI-VB-2002","BIRDY VIBRATOR (BLUE)","HERQUAKE THRUSTING RABBIT - TEAL","0","199","$18573.02","$1537.91","$17035.11","$18010.06","$11601.63","$5433.48","31.9%"
"210000005228","716770080479","","SE-1105-07-2","SE-1105-07-2","POCKET EXOTICS VIBRATING BULLET - GOLD","0","7","$69.93","$2.00","$67.93","$71.39","$20.30","$47.63","70.12%"
"210000016645","728175421818","","MOOD-WICKED PLATINUM","WICKED PLATINUM","WICKED ZEN PLATINUM MALE SUPPLEMENT","0","150","$1498.50","$13.50","$1485.00","$1589.97","$750.00","$735.00","49.49%"
"210000019326","950130528625","","MOOD-RHINOZEXTREME","MOOD-RHINOZEXTREME","RHINO ZEN EXTREME 10000 SUPPLEMENT","0","40","$399.60","$1.00","$398.60","$411.85","$133.20","$265.40","66.58%"
"210000005108","716770072030","","SE-0884-20-3","SE-0884-20-3","GIRL NEXT DOOR BROWN","0","2","$49.98","$0.00","$49.98","$53.48","$11.00","$38.98","77.99%"
"210000002924","603912270549","","PD4208-20","PD4208-20","BASIX RUBBER WORKS 6.5 DONG CLEAR","0","3","$44.97","$0.00","$44.97","$48.12","$12.60","$32.37","71.98%"
"210000005227","716770004024","","SE-1105-05-2","SE-1105-05-2","POCKET EXOTIC SILVER BULLET","0","2","$29.98","$0.00","$29.98","$32.23","$5.76","$24.22","80.79%"
"210000002792","603912160352","","PD3366-21","PD3366-21","FETISH FANTASY FOR HIM OR HER HOLOW STRAP ON FLESH","0","2","$79.98","$0.00","$79.98","$85.58","$19.29","$60.69","75.88%"
"210000018561","716770038548","","SE-9770-00-1","SE-9770-00-1","DR. LAURA BERMAN INTIMATE BASICS ANTI BACTERIAL TOY CLEANER","0","4","$35.96","$0.00","$35.96","$38.57","$9.40","$26.56","73.86%"
"210000026543","889166537892","","SI-VB-1007","GC0901","GUSHER","0","54","$2889.68","$43.82","$2845.86","$3026.98","$1875.99","$969.87","34.08%"
"210000003106","603912330489","","PD4963-14","PD4963-14","PURE ALUMINIUM MEDIUM VIBRATOR WATERPROOF BLUE 6.25","0","1","$54.99","$0.00","$54.99","$58.84","$27.00","$27.99","50.9%"
"210000004898","603912105100","","PD3804-23","PD3804-23","FETISH FANTASY SERIES FURRY CUFFS BLACK","0","4","$79.96","$0.00","$79.96","$85.66","$19.20","$60.76","75.99%"
"210000030214","889166000174","889166806080","SI-VB-1024","AL-SV011-2","FIRST TIME BUNNY THRUSTER - PURPLE","0","28","$721.27","$1.85","$719.42","$768.68","$555.70","$163.72","22.76%"
"210000005222","716770080264","","SE-1103-05-2","SE-1103-05-2","POCKET EXOTIC SILVER EGG","0","2","$33.98","$0.00","$33.98","$36.61","$5.00","$28.98","85.28%"
"210000002857","603912266351","","PD3948-00","PD3948-00","FETISH FANTASY SERIES 10 CHOCOLATE DREAM HOLLOW STRAP ON","0","3","$119.97","$0.00","$119.97","$125.97","$29.18","$90.79","75.68%"
"210000003894","716770062727","","SE-0601-28-3","SE-0601-28-3","VENUS BUTTERFLY WIRELESS STRAP ON - PINK","0","3","$74.97","$0.00","$74.97","$80.72","$19.20","$55.77","74.39%"
"210000023541","889166823599","","MOOD-RUSH","RUSH","RUSH 10ML BOTTLE","0","2","$33.98","$0.00","$33.98","$36.53","$8.00","$25.98","76.46%"
"210000005109","716770072047","","SE-0884-30-3","SE-0884-30-3","GND THE GIRL NEXT DOOR PUSSY MASTURBATOR BLACK","0","1","$24.99","$0.00","$24.99","$26.99","$9.10","$15.89","63.59%"
"210000026548","889166537946","","SI-VB-1012","GC2301","LIGHTENING","0","10","$499.90","$0.00","$499.90","$535.90","$370.04","$129.86","25.98%"
"210000026541","889166537878","","SI-VB-1005","AV002","CYCLONE","0","40","$1689.60","$0.00","$1689.60","$1801.70","$1129.20","$560.40","33.17%"
"210000000341","735380553067","","BL-55306","BL-55306","AU NATUREL JEROME BROWN","0","7","$419.93","$0.00","$419.93","$446.03","$83.79","$336.14","80.05%"
"210000002844","603912272512","","PD3883-24","PD3883-24","FETISH FANTASY SERIES VIBRATING STRAPLESS STRAPON","0","6","$329.94","$0.00","$329.94","$350.84","$90.97","$238.97","72.43%"
"210000030216","889166000198","889166806103","SI-VB-1026","AL-SV030","G SPOT NUB BUNNY TEASER - GREEN","0","20","$564.83","$32.49","$532.34","$566.62","$494.58","$37.76","7.09%"
"210000001456","818631023288","","HP-2328","2328","XTREME VIBES FORKED TONGUE PLEASURE RING - PURPLE","0","8","$71.92","$0.00","$71.92","$76.51","$14.16","$57.76","80.31%"
"210000001011","782421061890","","DJ-5200-10-BX","5200-10-BX","MAIN SQUEEZE VICKY VETTE VARIABLE PRESSURE ULTRASKYN STROKER PUSSY MASTURBATOR VANILLA","0","1","$79.99","$0.00","$79.99","$85.59","$19.75","$60.24","75.31%"
"210000033593","757531946931","","MOOD-LOVEPOTION-ULT","LOVE POTION ULT","LOVE POTION ULTIMATE","0","157","$1568.43","$1.00","$1567.43","$1676.63","$616.36","$951.07","60.68%"
"210000016573","601577512684","601577503941","MOOD-7K","7K","BLACK MAMBA 7K MALE SUPPLEMENT","0","202","$2017.98","$5.22","$2012.76","$2136.89","$758.91","$1253.85","62.3%"
"210000016613","787188874608","","MOOD-PINK PUSSYCAT-FC","EP308","PINK PUSSYCAT CAPSULE","0","53","$794.47","$0.00","$794.47","$837.14","$154.76","$639.71","80.52%"
"210000005982","844477011615","","SI-VB-1615-2","SI-VB-1615-2","PLEASURE SLEEVE TRIO","0","44","$562.56","$3.00","$559.56","$599.49","$1167.96","$-608.40","-108.73%"
"210000026547","889166537939","","SI-VB-1011","GC1205","TIDAL WAVE","0","60","$1439.73","$0.00","$1439.73","$1538.73","$2301.58","$-861.85","-59.86%"
"210000033990","889166801498","","SI-VB-1039","WL02","REACHING RABBIT - PURPLE","0","1","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00",""
"210000003173","603912739732","","PD5630-23","PD5630-23","King Cock Fit Rite Harness Black","0","10","$269.90","$0.00","$269.90","$287.85","$120.00","$149.90","55.54%"
"210000034016","889166801757","","SI-DD-1007","GLOWS IN THE DARK DILDOS - M","GLOW IN THE DARK DILDO BLUE MEDIUM - 6 IN","0","8","$224.92","$0.00","$224.92","$239.17","$132.14","$92.78","41.25%"
"210000002799","603912741537","","PD3376-29","PD3376-29","FETISH FANTASY SERIES VIBRATING HOLLOW STRAP ON WITH BALLS BROWN AND BLACK 7","0","6","$239.94","$0.00","$239.94","$257.94","$97.20","$142.74","59.49%"
"210000003127","603912349931","","PD5502-29","PD5502-29","KING COCK 7 IN COCK - BROWN","0","12","$515.88","$0.00","$515.88","$549.63","$101.55","$414.33","80.32%"
"210000026544","889166537908","","SI-VB-1008","GQ0302","DOWNPOUR","0","7","$149.93","$6.09","$143.84","$154.66","$72.07","$71.77","49.89%"
"210000026540","889166537861","","SI-VB-1004","GC2501","HURRICANE","0","52","$3629.48","$1523.76","$2105.72","$2240.33","$2098.88","$6.84","0.33%"
"210000003129","603912349962","","PD5503-29","PD5503-29","KING COCK 8 IN COCK BROWN","0","5","$264.95","$0.00","$264.95","$285.05","$62.77","$202.18","76.31%"
"210000029301","817483010965","","SCO-HAR-BL-101","HAR-BL-101","THE OHARE COCKRING - BLACK","0","3","$74.97","$0.00","$74.97","$78.72","$29.61","$45.36","60.5%"
"210000003664","716770028815","","SE-0054-30-3","SE-0054-30-3","IMPULSE POCKET PAKS SLIM SILVER BULLET","0","5","$99.95","$0.00","$99.95","$107.15","$27.00","$72.95","72.99%"
"210000034431","889166800095","","RGO-VB-1007","AS241","BEACH BUNNY MIFFY-T - PURPLE","0","67","$3059.34","$101.67","$2957.67","$3126.08","$2012.62","$945.05","31.95%"
"210000000904","782421018177","","DJ-1090-10-BX","1090-10-BX","VACULOCK PLATINUM EDITION ACCESSORIES LUXE HARNESS BLACK","0","2","$89.98","$0.00","$89.98","$96.73","$31.04","$58.94","65.5%"
"210000008377","846073088442","","EM8914","8914 BLACK O/S","VIVACE DEEP V OPAQUE BODYSTOCKING W/CUT OUT SIDE DETAIL BLACK O/S","0","1","$15.99","$0.00","$15.99","$17.11","$6.74","$9.25","57.85%"
"210000033908","889166800675","","SI-ML-8011","WL28","OH SO TIGHT FLESH","0","13","$394.87","$0.00","$394.87","$423.92","$186.92","$207.95","52.66%"
"210000033921","889166800804","","SI-ML-8024","AYB046","BREE","0","9","$255.91","$0.00","$255.91","$272.96","$135.20","$120.71","47.17%"
"210000030212","889166000020","889166806066","SI-VB-1022","AL-SV023","BEACH BUNNY TICKLER - ORANGE","0","12","$269.90","$25.00","$244.90","$262.44","$175.75","$69.15","28.24%"
"210000023097","818631021017","","HP-2101-S","HP-2101-S","PARTY PECKER SIPPING STRAWS NEON ASSORTED COLORS","0","1","$0.00","$0.00","$0.00","$0.00","$0.15","$-0.15",""
"210000016623","635414999727","","MOOD-RHINO S","RHINO S","RHINO S GREEN 3000 MALE SUPPLEMENT","0","4","$39.96","$0.00","$39.96","$39.96","$16.85","$23.11","57.84%"
"210000004162","051021312993","","TC-1031299","1031299","CYBERSKIN RENEW - 1 OZ","0","2","$13.98","$1.40","$12.58","$13.46","$2.58","$10.00","79.49%"
"210000016369","851674003015","","UBER-100","UBER-100","UBERLUBE SILICONE - 100 ML","0","1","$34.99","$3.49","$31.50","$33.71","$12.50","$19.00","60.32%"
"210000033849","781643644966","","MOOD-24KRHINO","24KRHINO","RHINO 24K MALE SUPPLEMENT CARDBOARD","0","188","$1923.12","$0.00","$1923.12","$2036.52","$809.86","$1113.26","57.89%"
"210000005403","716770081377","","SE-1575-10-3","SE-1575-10-3","PACKER GEAR BLACK BRIEF HARNESS M/L","0","3","$104.97","$0.00","$104.97","$112.84","$27.45","$77.52","73.85%"
"210000028957","889166000105","","SI-LQ-9001","","SI TOY CLEANER FOAM","0","8","$100.92","$7.99","$92.93","$98.78","$47.21","$45.72","49.2%"
"210000033922","889166800811","","SI-ML-8025","AYB046","NIKKI","0","7","$192.93","$0.00","$192.93","$202.54","$105.00","$87.93","45.58%"
"210000016577","601577513360","","MOOD-BIGBOY6X","BIGBOY6X","BIG BOY 6X MALE SUPPLEMENTS","0","6","$59.94","$0.00","$59.94","$62.74","$22.50","$37.44","62.46%"
"210000005981","844477011912","","SI-RS-1191-2","SI-RS-1191-2","CLITORAL SUCTION RABBIT","0","26","$1874.85","$107.15","$1767.70","$1879.28","$1620.73","$146.97","8.31%"
"210000002676","603912310580","","PD2930-00","PD2930-00","ICICLES # 30 - DUAL PENETRATION MASSAGER PINK 8","0","1","$58.99","$0.00","$58.99","$63.12","$29.00","$29.99","50.84%"
"210000033896","889166801825","","SI-VB-2004","HUB-1919","TREMORS - TEAL","0","18","$1654.85","$0.00","$1654.85","$1739.70","$779.94","$874.91","52.87%"
"210000033992","889166801511","","SI-VB-1042","WL30","CHEEKY G - PINK","0","3","$144.97","$0.00","$144.97","$155.12","$73.68","$71.29","49.17%"
